path,label,name,weight_g_true,calories_kcal_true
images/京酱肉丝/京酱肉丝_001.jpg,13,京酱肉丝,187.6,412.7
images/京酱肉丝/京酱肉丝_002.jpg,13,京酱肉丝,275.0,605.0
images/京酱肉丝/京酱肉丝_003.jpg,13,京酱肉丝,179.4,394.7
images/京酱肉丝/京酱肉丝_004.jpg,13,京酱肉丝,237.2,521.8
images/京酱肉丝/京酱肉丝_005.jpg,13,京酱肉丝,168.1,369.8
images/京酱肉丝/京酱肉丝_006.jpg,13,京酱肉丝,263.8,580.4
images/京酱肉丝/京酱肉丝_007.jpg,13,京酱肉丝,228.0,501.6
images/京酱肉丝/京酱肉丝_008.jpg,13,京酱肉丝,197.6,434.7
images/京酱肉丝/京酱肉丝_009.jpg,13,京酱肉丝,201.2,442.6
images/京酱肉丝/京酱肉丝_010.jpg,13,京酱肉丝,229.2,504.2
images/冰淇淋/冰淇淋_001.jpg,49,冰淇淋,146.8,264.2
images/冰淇淋/冰淇淋_002.jpg,49,冰淇淋,175.8,316.4
images/冰淇淋/冰淇淋_003.jpg,49,冰淇淋,133.1,239.6
images/冰淇淋/冰淇淋_004.jpg,49,冰淇淋,161.8,291.2
images/冰淇淋/冰淇淋_005.jpg,49,冰淇淋,179.4,322.9
images/冰淇淋/冰淇淋_006.jpg,49,冰淇淋,125.0,225.0
images/冰淇淋/冰淇淋_007.jpg,49,冰淇淋,144.2,259.6
images/冰淇淋/冰淇淋_008.jpg,49,冰淇淋,119.3,214.7
images/冰淇淋/冰淇淋_009.jpg,49,冰淇淋,168.6,303.5
images/冰淇淋/冰淇淋_010.jpg,49,冰淇淋,181.1,326.0
images/凉拌西红柿/凉拌西红柿_001.jpg,24,凉拌西红柿,81.0,32.4
images/凉拌西红柿/凉拌西红柿_002.jpg,24,凉拌西红柿,103.3,41.3
images/凉拌西红柿/凉拌西红柿_003.jpg,24,凉拌西红柿,152.8,61.1
images/凉拌西红柿/凉拌西红柿_004.jpg,24,凉拌西红柿,101.9,40.8
images/凉拌西红柿/凉拌西红柿_005.jpg,24,凉拌西红柿,108.6,43.4
images/凉拌西红柿/凉拌西红柿_006.jpg,24,凉拌西红柿,105.8,42.3
images/凉拌西红柿/凉拌西红柿_007.jpg,24,凉拌西红柿,109.7,43.9
images/凉拌西红柿/凉拌西红柿_008.jpg,24,凉拌西红柿,107.2,42.9
images/凉拌西红柿/凉拌西红柿_009.jpg,24,凉拌西红柿,112.7,45.1
images/凉拌西红柿/凉拌西红柿_010.jpg,24,凉拌西红柿,141.6,56.6
images/凉面/凉面_001.jpg,40,凉面,290.9,494.5
images/凉面/凉面_002.jpg,40,凉面,291.0,494.7
images/凉面/凉面_003.jpg,40,凉面,228.1,387.8
images/凉面/凉面_004.jpg,40,凉面,268.5,456.4
images/凉面/凉面_005.jpg,40,凉面,309.3,525.8
images/凉面/凉面_006.jpg,40,凉面,324.5,551.6
images/凉面/凉面_007.jpg,40,凉面,275.2,467.8
images/凉面/凉面_008.jpg,40,凉面,320.2,544.3
images/凉面/凉面_009.jpg,40,凉面,292.7,497.6
images/凉面/凉面_010.jpg,40,凉面,309.5,526.1
images/剁椒鱼头/剁椒鱼头_001.jpg,34,剁椒鱼头,277.3,360.5
images/剁椒鱼头/剁椒鱼头_002.jpg,34,剁椒鱼头,190.4,247.5
images/剁椒鱼头/剁椒鱼头_003.jpg,34,剁椒鱼头,239.9,311.9
images/剁椒鱼头/剁椒鱼头_004.jpg,34,剁椒鱼头,235.6,306.3
images/剁椒鱼头/剁椒鱼头_005.jpg,34,剁椒鱼头,169.5,220.3
images/剁椒鱼头/剁椒鱼头_006.jpg,34,剁椒鱼头,205.4,267.0
images/剁椒鱼头/剁椒鱼头_007.jpg,34,剁椒鱼头,254.1,330.3
images/剁椒鱼头/剁椒鱼头_008.jpg,34,剁椒鱼头,237.4,308.6
images/剁椒鱼头/剁椒鱼头_009.jpg,34,剁椒鱼头,183.8,238.9
images/剁椒鱼头/剁椒鱼头_010.jpg,34,剁椒鱼头,191.7,249.2
images/包子/包子_001.jpg,15,包子,245.1,563.7
images/包子/包子_002.jpg,15,包子,247.5,569.2
images/包子/包子_003.jpg,15,包子,385.8,887.3
images/包子/包子_004.jpg,15,包子,365.8,841.3
images/包子/包子_005.jpg,15,包子,233.2,536.4
images/包子/包子_006.jpg,15,包子,300.7,691.6
images/包子/包子_007.jpg,15,包子,278.4,640.3
images/包子/包子_008.jpg,15,包子,342.4,787.5
images/包子/包子_009.jpg,15,包子,285.3,656.2
